atr_period,mult,macd_fast,macd_slow,macd_sig,vol_min,sharpe,ann_return,total_return,max_dd,calmar,n_trades,win_rate,avg_trade,in_market,param_label
10,1.5,12,26,7,0.0,5.519293339126927,29.58217867971475,108.38506393443093,-0.1137288944743813,260.11137113777596,70,0.38571428571428573,0.5420709412050372,29.17498336660013,"ST(ATR10/x1.5)+MACD(12,26,7)/V0.0"
10,1.5,8,26,9,0.0,5.499759877641942,28.007418300083295,100.7288106325835,-0.11909698618978418,235.16479464436438,70,0.37142857142857144,0.7317745120201354,27.67797737857618,"ST(ATR10/x1.5)+MACD(8,26,9)/V0.0"
14,1.5,12,21,7,0.0,5.475212128745629,19.38014175113857,61.664472771068155,-0.11909698618978432,162.72571096178524,69,0.37681159420289856,0.39809739498328844,27.012641383898867,"ST(ATR14/x1.5)+MACD(12,21,7)/V0.0"
14,1.5,8,21,7,0.0,5.462888496122127,17.86534680906222,55.3612985276466,-0.12458936690333826,143.3938325003523,75,0.37333333333333335,-0.08328287118977756,24.151696606786427,"ST(ATR14/x1.5)+MACD(8,21,7)/V0.0"
7,1.5,12,26,7,0.0,5.455941136517826,28.665925379734787,103.91201468315042,-0.1345065096625963,213.11924197306143,73,0.3835616438356164,0.27085202226743776,29.740518962075846,"ST(ATR7/x1.5)+MACD(12,26,7)/V0.0"
14,1.5,12,21,9,0.0,5.4091165021758725,17.530490932937425,53.99270309514493,-0.11794294183025222,148.63535418819674,63,0.3968253968253968,0.5741384869025714,26.879574184963406,"ST(ATR14/x1.5)+MACD(12,21,9)/V0.0"
14,1.5,12,26,9,0.0,5.389833550086823,17.470006392026093,53.746471920124236,-0.11712962134398955,149.1510532653366,62,0.41935483870967744,0.6596205566259589,27.378576180971393,"ST(ATR14/x1.5)+MACD(12,26,9)/V0.0"
7,2.0,12,21,7,0.0,5.388795805917905,33.47603624903258,127.94380976712762,-0.13624519251032252,245.7043484047798,62,0.45161290322580644,2.537917750749643,26.979374584165004,"ST(ATR7/x2.0)+MACD(12,21,7)/V0.0"
10,1.5,8,21,9,0.0,5.379213365812474,24.40057814352533,83.77975879164214,-0.10750704546935945,226.96724700224163,71,0.3380281690140845,0.3338945936200023,25.615435795076515,"ST(ATR10/x1.5)+MACD(8,21,9)/V0.0"
7,1.5,8,21,7,0.0,5.345991691580661,27.205293709851784,96.88762497950921,-0.12458936690333852,218.35967535623448,80,0.4,0.164278431653656,25.715236194278113,"ST(ATR7/x1.5)+MACD(8,21,7)/V0.0"
10,1.5,12,21,7,0.0,5.326005940563622,24.296654749845832,83.30401260649994,-0.11909698618978448,204.00730133614306,69,0.36231884057971014,0.5251977108361924,27.045908183632733,"ST(ATR10/x1.5)+MACD(12,21,7)/V0.0"
10,1.5,12,26,9,0.0,5.261963326852326,22.730643648953514,76.22423452314698,-0.11712962134399027,194.0640069363614,62,0.3870967741935484,0.793915890101646,28.143712574850298,"ST(ATR10/x1.5)+MACD(12,26,9)/V0.0"
10,1.5,8,21,7,0.0,5.2455258284079616,21.666170160126587,71.50964099900837,-0.12458936690333827,173.9006361348326,75,0.37333333333333335,-0.02608405933230642,24.21823020625416,"ST(ATR10/x1.5)+MACD(8,21,7)/V0.0"
7,2.0,8,21,9,0.0,5.223692883448043,29.51494455143257,108.05511536681506,-0.12134302282561198,243.23561309206832,62,0.43548387096774194,2.3595750600280967,25.216234198270126,"ST(ATR7/x2.0)+MACD(8,21,9)/V0.0"
7,2.0,12,21,9,0.0,5.218709552637741,33.58369990064727,128.49684088270834,-0.15426557693890552,217.70054322583948,61,0.4426229508196721,2.7042546690592113,29.840319361277444,"ST(ATR7/x2.0)+MACD(12,21,9)/V0.0"
10,1.5,12,21,9,0.0,5.198896504209425,21.414839447505003,70.40833537661624,-0.1179429418302526,181.56948703489144,63,0.36507936507936506,0.600454786106681,26.94610778443114,"ST(ATR10/x1.5)+MACD(12,21,9)/V0.0"
7,1.5,12,26,9,0.0,5.105535346549115,20.629435578479523,66.99651911811183,-0.13596656234340715,151.72433003326438,64,0.375,0.5305646443677413,28.2435129740519,"ST(ATR7/x1.5)+MACD(12,26,9)/V0.0"
7,2.0,8,26,9,0.0,5.080621920294423,22.395442945229995,74.73093784415754,-0.13624519251032252,164.3760233487374,61,0.4426229508196721,1.6662939294992924,26.047904191616766,"ST(ATR7/x2.0)+MACD(8,26,9)/V0.0"
10,2.0,12,21,7,0.0,5.047694473974853,24.686214389107032,85.09109340751358,-0.17682901731127978,139.60499676165037,60,0.4166666666666667,1.8006391638992272,26.44710578842315,"ST(ATR10/x2.0)+MACD(12,21,7)/V0.0"
10,2.0,8,26,9,0.0,5.018258415670459,24.152011551293974,82.64306870798909,-0.1900715006689993,127.06803211573302,60,0.4166666666666667,1.8186149364600896,26.38057218895542,"ST(ATR10/x2.0)+MACD(8,26,9)/V0.0"
14,1.5,8,21,9,1.0,4.990530742223174,7.218910994412145,17.01675543823848,-0.0975541871064256,73.9989867019932,41,0.36585365853658536,0.9389064758323148,14.504324683965402,"ST(ATR14/x1.5)+MACD(8,21,9)/V1.0"
14,2.0,8,21,9,0.0,4.96920349672317,21.365427779757184,70.19235754679134,-0.17205294106222,124.17938134536593,57,0.40350877192982454,1.6279804229157813,23.353293413173652,"ST(ATR14/x2.0)+MACD(8,21,9)/V0.0"
7,1.5,8,21,9,1.0,4.93883075283768,16.230685349060103,48.76823852113981,-0.09781260719280191,165.93653737362527,42,0.42857142857142855,2.8416195219639913,16.03459747172322,"ST(ATR7/x1.5)+MACD(8,21,9)/V1.0"
14,2.0,12,21,7,0.0,4.93763086087058,21.675604972440127,71.55107238016478,-0.18942003063366836,114.43142998091886,56,0.42857142857142855,1.9410738626452126,24.88356620093147,"ST(ATR14/x2.0)+MACD(12,21,7)/V0.0"
14,2.0,8,26,9,0.0,4.920893857198797,21.40925837229979,70.38393166604376,-0.20245996034471575,105.74564143867065,56,0.42857142857142855,1.9639197406166136,24.850299401197603,"ST(ATR14/x2.0)+MACD(8,26,9)/V0.0"
